<<<<<<< HEAD
Ship_Type,DWT,Engine_Power_kW,Design_Speed,Avg_Speed_Knots,Distance_NM,Draft_Percentage,Wind_Beaufort,Wave_Height_m,Current_Speed_Knots,Current_Direction,Season,Fuel_Consumption_Tons
Tanker,98475,17579,15.4,9.7,3312,57.7,7,4.13,1.7,Head,Southwest Monsoon,254.89
Container,66390,26054,19.8,17.7,3590,66.0,4,3.99,2.1,Following,Southwest Monsoon,643.23
Container,135395,54665,19.4,12.0,3539,53.9,6,5.9,1.33,Following,Southwest Monsoon,643.23
Container,94652,38634,24.0,14.8,4986,65.1,4,2.42,0.71,Following,Northeast Monsoon,459.35
Tanker,118522,21324,14.0,12.4,1838,82.0,2,1.81,0.91,Head,Inter-Monsoon,402.71
Tanker,278563,49591,14.8,13.1,4147,81.3,6,2.61,1.21,Head,Northeast Monsoon,2051.57
Container,28155,11265,18.3,15.4,2236,69.1,6,2.95,1.86,Beam,Southwest Monsoon,167.07
Tanker,115595,21880,14.0,11.3,4730,60.3,4,3.2,1.45,Head,Northeast Monsoon,774.37
Bulker,36143,5128,13.4,9.5,1967,50.6,2,1.44,0.77,Head,Inter-Monsoon,51.2
Tanker,235267,42079,16.4,10.7,2214,57.9,2,1.4,0.59,Beam,Inter-Monsoon,322.22
Tanker,212669,38489,16.2,12.2,1844,52.2,2,1.44,0.42,Beam,Inter-Monsoon,310.88
Container,113092,44198,18.9,12.0,872,65.2,2,1.47,0.25,Beam,Inter-Monsoon,115.66
Container,69769,27328,19.8,15.6,3413,86.2,3,2.31,0.71,Beam,Northeast Monsoon,548.23
Tanker,147653,27066,14.1,12.4,1281,94.9,6,3.93,1.25,Beam,Northeast Monsoon,455.94
Container,121478,48531,18.6,13.6,581,94.7,2,1.7,0.31,Beam,Inter-Monsoon,152.24
Tanker,276442,50401,13.9,10.9,502,92.9,2,0.5,0.85,Beam,Inter-Monsoon,207.29
Bulker,86157,13469,16.0,12.8,3263,52.9,1,1.01,0.35,Head,Inter-Monsoon,216.2
Tanker,214710,37868,14.8,12.6,2813,79.2,7,3.79,1.2,Beam,Southwest Monsoon,1024.34
Container,118254,47673,18.7,15.3,1111,55.0,3,3.49,1.17,Beam,Northeast Monsoon,260.85
Container,74965,30322,18.1,12.3,4957,91.8,2,0.54,0.99,Head,Inter-Monsoon,720.85
Container,124136,49412,22.9,18.1,839,71.8,6,2.67,0.89,Following,Northeast Monsoon,198.55
Tanker,108224,19498,16.1,10.0,3406,88.5,5,2.14,0.68,Head,Northeast Monsoon,313.97
Container,96726,37650,21.2,17.9,3056,68.1,4,4.09,1.86,Following,Southwest Monsoon,615.36
Container,139152,55172,20.4,18.4,2731,56.3,4,3.89,1.35,Head,Northeast Monsoon,931.68
Tanker,167579,29874,13.7,10.6,970,72.0,1,1.65,0.45,Head,Inter-Monsoon,189.94
Tanker,256681,47117,16.0,10.8,3175,65.9,3,0.54,0.59,Head,Inter-Monsoon,638.64
Container,56173,22939,19.6,18.1,954,71.2,4,3.83,1.44,Head,Northeast Monsoon,168.62
Bulker,143983,21944,13.8,9.9,1354,52.1,2,1.77,0.94,Following,Inter-Monsoon,134.92
Bulker,72408,11490,14.2,8.9,2611,99.8,1,1.87,0.68,Head,Inter-Monsoon,160.81
Bulker,145370,22310,14.2,13.4,3250,85.0,6,2.84,1.37,Beam,Southwest Monsoon,857.67
Container,121640,48245,24.0,15.6,4236,62.7,6,3.33,0.75,Head,Northeast Monsoon,583.64
Container,90541,36417,21.0,19.0,2263,97.1,5,3.88,0.65,Head,Northeast Monsoon,674.76
Container,25947,11069,18.8,12.3,4446,54.0,3,0.99,0.76,Beam,Inter-Monsoon,148.7
Container,83414,33696,20.9,16.2,525,70.8,1,1.25,0.71,Beam,Inter-Monsoon,75.02
Tanker,147823,26989,14.5,10.8,2250,55.0,8,5.78,1.38,Beam,Southwest Monsoon,393.58
Container,141945,57203,23.7,20.5,4413,59.6,5,4.31,2.09,Head,Southwest Monsoon,1412.37
Bulker,51989,8793,12.7,10.6,1633,98.4,3,1.35,0.53,Beam,Inter-Monsoon,146.58
Container,118391,47480,23.5,22.3,2519,80.3,6,2.22,0.78,Following,Northeast Monsoon,821.95
Bulker,193933,28733,15.0,10.1,4397,54.2,3,1.64,0.21,Head,Inter-Monsoon,532.8
Tanker,259727,47495,16.1,14.5,2879,67.2,2,0.63,0.67,Following,Inter-Monsoon,959.46
Tanker,214951,39194,13.9,11.7,2941,56.9,5,4.23,0.88,Following,Southwest Monsoon,963.0
Bulker,152148,22666,15.1,14.1,4017,82.1,3,2.82,1.38,Head,Northeast Monsoon,930.97
Container,76499,30291,18.5,17.0,2225,75.0,7,2.85,0.61,Head,Southwest Monsoon,537.39
Tanker,84473,15226,15.7,13.2,3551,69.3,1,1.99,0.63,Following,Inter-Monsoon,389.36
Container,33383,13614,21.7,18.8,2364,61.9,5,3.59,1.97,Beam,Southwest Monsoon,182.69
Container,119633,48189,19.5,17.6,2559,76.1,4,2.9,1.24,Head,Southwest Monsoon,852.8
Bulker,172899,26658,13.3,10.5,2807,87.2,6,3.02,1.73,Following,Southwest Monsoon,687.26
Container,55463,22587,21.7,18.1,2142,77.0,2,1.6,0.52,Head,Inter-Monsoon,264.3
Bulker,149049,22476,14.5,11.8,3869,75.9,6,2.75,2.46,Beam,Southwest Monsoon,742.74
Bulker,49367,6897,13.6,8.4,1023,75.3,2,1.52,0.87,Beam,Inter-Monsoon,30.71
Container,94399,36875,18.5,13.4,3105,89.8,2,1.95,0.68,Following,Inter-Monsoon,605.98
Bulker,32016,5431,15.3,10.1,4310,63.9,3,2.94,0.66,Head,Northeast Monsoon,107.73
Bulker,114637,17307,12.5,7.8,1293,85.6,2,0.73,0.14,Beam,Inter-Monsoon,115.94
Container,147237,59415,18.3,14.0,3105,62.8,1,1.19,0.97,Head,Inter-Monsoon,802.47
Container,68500,27223,19.3,12.3,1464,77.2,3,1.0,0.83,Beam,Inter-Monsoon,122.63
Tanker,112148,19321,16.4,10.8,2274,71.7,3,1.07,0.4,Head,Inter-Monsoon,179.31
Tanker,249333,45201,15.1,9.9,1814,89.8,2,0.87,0.85,Beam,Inter-Monsoon,399.04
Bulker,83450,13106,15.8,15.0,2708,54.4,4,2.98,1.16,Head,Southwest Monsoon,296.84
Container,61945,25060,23.7,16.1,1046,88.9,3,1.99,0.92,Head,Inter-Monsoon,101.15
Container,132176,53251,22.4,15.5,615,65.1,6,3.91,0.64,Following,Northeast Monsoon,117.23
Bulker,57238,8226,13.3,9.9,2642,52.0,8,5.25,0.54,Beam,Southwest Monsoon,143.01
Bulker,180166,26925,13.4,9.5,2651,78.3,3,1.41,0.22,Head,Inter-Monsoon,448.95
Bulker,157593,23966,15.8,13.6,749,97.6,3,0.71,0.49,Following,Inter-Monsoon,155.97
Bulker,164030,24385,14.1,11.2,4550,85.7,4,2.21,1.13,Following,Northeast Monsoon,867.95
Bulker,184935,27559,14.5,9.5,2762,67.9,7,2.57,1.83,Head,Southwest Monsoon,431.88
Bulker,61871,9245,15.9,12.0,3577,64.9,3,0.83,0.11,Head,Inter-Monsoon,170.78
Bulker,72787,10232,14.9,13.4,629,77.1,3,1.85,0.78,Head,Inter-Monsoon,57.41
Bulker,58569,8713,14.3,9.0,4787,57.0,2,1.15,0.39,Beam,Inter-Monsoon,145.97
Tanker,199387,36483,17.0,15.8,4273,92.1,6,2.62,0.53,Head,Northeast Monsoon,1605.25
Bulker,52915,8431,13.3,9.7,3342,56.8,6,4.66,2.12,Head,Southwest Monsoon,188.53
Container,56269,22183,19.9,14.5,3579,90.0,5,4.92,1.19,Following,Southwest Monsoon,431.07
Tanker,115343,20997,15.5,9.6,966,70.1,4,3.67,2.05,Head,Southwest Monsoon,95.71
Bulker,51703,7465,13.4,8.4,4717,76.6,3,1.09,0.62,Head,Inter-Monsoon,179.47
Bulker,52196,7995,13.4,8.8,1010,89.6,2,1.42,0.96,Head,Inter-Monsoon,45.97
Tanker,68884,12044,15.9,11.9,2669,77.6,2,1.5,0.91,Head,Inter-Monsoon,181.97
Tanker,298301,53913,14.2,11.7,708,92.1,2,0.71,0.97,Beam,Inter-Monsoon,325.14
Tanker,218619,39721,14.9,11.2,3057,68.4,2,1.29,0.81,Following,Inter-Monsoon,708.54
Bulker,120324,18766,14.5,12.6,2565,93.6,1,0.99,0.12,Following,Inter-Monsoon,461.01
Container,124262,50190,22.3,16.3,3716,90.2,1,0.68,0.22,Following,Inter-Monsoon,797.75
Tanker,216634,39322,13.2,8.8,1019,69.5,5,3.03,1.29,Beam,Northeast Monsoon,224.95
Container,95736,38471,19.5,14.1,4622,88.4,3,2.57,1.24,Following,Northeast Monsoon,835.07
Container,100921,39920,19.3,12.5,1953,92.6,5,2.97,2.01,Head,Southwest Monsoon,334.72
Tanker,240810,43047,14.7,13.7,4742,93.7,6,2.78,1.1,Following,Northeast Monsoon,2414.86
Bulker,131615,20343,15.3,11.0,2564,96.8,3,0.51,0.69,Head,Inter-Monsoon,346.5
Container,84805,32698,22.3,18.6,3743,59.3,4,3.9,1.77,Head,Southwest Monsoon,629.77
Bulker,160398,23203,15.9,10.2,2942,57.2,1,1.78,0.26,Beam,Inter-Monsoon,263.04
Container,22323,8466,23.7,19.4,1710,92.3,3,2.96,1.15,Head,Northeast Monsoon,81.96
Tanker,245425,44455,14.8,11.3,3498,73.9,5,3.07,1.91,Beam,Southwest Monsoon,1016.25
Container,40562,16179,20.5,12.5,4696,99.6,6,3.62,2.28,Head,Southwest Monsoon,351.23
Bulker,94302,14637,13.9,10.4,3267,54.6,8,5.79,2.27,Following,Southwest Monsoon,316.35
Container,134474,52605,19.3,17.5,1998,51.9,1,1.35,0.73,Beam,Inter-Monsoon,564.15
Container,57371,22825,20.1,15.7,4304,64.6,2,0.92,0.35,Head,Inter-Monsoon,424.44
Container,125660,50307,22.1,17.5,4919,93.9,3,1.99,0.51,Beam,Inter-Monsoon,1384.0
Container,44664,18182,19.3,16.0,1853,93.5,5,3.52,1.17,Following,Northeast Monsoon,225.65
Tanker,71532,12824,15.1,11.7,3744,95.6,4,3.47,1.07,Beam,Northeast Monsoon,382.48
Bulker,183541,27367,15.7,12.3,2590,80.3,3,1.07,0.41,Head,Inter-Monsoon,501.72
Tanker,200721,36690,13.1,8.6,1024,82.5,1,1.75,0.41,Head,Inter-Monsoon,224.25
Container,148510,59005,20.8,17.9,3773,88.9,3,1.29,0.76,Following,Inter-Monsoon,1355.3
Bulker,181233,27310,13.9,12.2,956,51.3,1,1.87,0.85,Following,Inter-Monsoon,187.89
Container,34490,13331,22.2,18.1,2351,70.7,4,3.72,1.15,Following,Northeast Monsoon,145.88
Container,70022,28266,21.7,20.4,3721,98.7,7,2.84,1.09,Beam,Southwest Monsoon,971.18
Container,89417,36628,20.9,13.9,3607,95.3,4,5.42,1.25,Head,Southwest Monsoon,642.38
Tanker,110130,19779,16.7,15.2,941,70.0,1,1.11,0.34,Beam,Inter-Monsoon,133.49
Bulker,79029,11232,12.0,10.8,4800,58.0,3,1.99,0.91,Head,Inter-Monsoon,530.49
Bulker,104520,15912,12.6,9.8,2752,74.2,3,1.73,0.69,Head,Inter-Monsoon,335.85
Tanker,101171,17231,13.5,12.0,2558,79.0,3,0.88,0.24,Head,Inter-Monsoon,429.93
Tanker,205807,36953,16.8,13.9,3137,65.3,1,1.65,0.97,Following,Inter-Monsoon,680.95
Tanker,129915,23493,15.2,13.9,4975,68.6,7,4.44,1.52,Head,Southwest Monsoon,1280.12
Container,97350,37856,22.3,17.0,2240,60.0,3,1.19,0.73,Beam,Inter-Monsoon,314.24
Tanker,245591,44712,16.4,13.7,4087,78.9,5,2.63,0.91,Beam,Northeast Monsoon,1412.42
Bulker,181478,27580,15.1,13.2,2084,98.1,6,2.55,1.06,Beam,Southwest Monsoon,686.75
Container,36996,14957,23.0,16.4,3013,52.9,1,0.7,0.47,Following,Inter-Monsoon,120.61
Container,94316,37567,18.1,11.9,2149,80.3,3,1.48,0.81,Following,Inter-Monsoon,319.84
Bulker,61562,9038,14.1,12.4,4006,75.8,4,3.55,1.76,Beam,Southwest Monsoon,355.71
Bulker,91938,13339,14.7,12.7,583,52.8,7,4.68,1.75,Beam,Southwest Monsoon,64.17
Tanker,64856,11285,13.8,11.4,1879,62.9,5,2.0,0.68,Following,Northeast Monsoon,157.68
Bulker,192568,28805,14.9,12.8,4923,83.0,2,1.27,0.2,Head,Inter-Monsoon,1250.09
Container,101538,41352,18.4,15.1,2390,76.0,3,1.73,0.19,Following,Inter-Monsoon,575.33
Bulker,139031,21165,14.4,11.4,3089,65.1,1,0.59,0.64,Head,Inter-Monsoon,404.9
Bulker,95726,15262,12.4,8.7,1489,93.7,3,2.33,0.77,Following,Northeast Monsoon,161.16
Tanker,299831,53668,15.8,12.8,3603,61.1,2,1.32,0.42,Head,Inter-Monsoon,1104.8
Bulker,178875,27332,12.2,8.7,2607,55.2,5,4.94,0.68,Beam,Southwest Monsoon,473.47
Bulker,109632,16075,13.7,8.9,1233,98.3,1,1.62,0.62,Following,Inter-Monsoon,122.65
Tanker,260872,46413,16.3,14.9,2295,96.9,3,1.46,0.47,Head,Inter-Monsoon,1070.68
Bulker,104433,15808,15.1,12.4,3728,81.7,7,3.46,1.77,Following,Southwest Monsoon,480.43
Tanker,123846,22881,13.1,8.0,2673,62.2,8,5.67,0.57,Beam,Southwest Monsoon,332.03
Tanker,55709,9993,16.3,9.9,3367,96.3,4,2.84,1.28,Beam,Northeast Monsoon,161.95
Tanker,120833,22297,16.5,13.5,3022,59.7,5,1.93,1.45,Head,Northeast Monsoon,456.22
Container,28158,11699,19.0,17.9,502,99.4,2,1.88,0.73,Head,Inter-Monsoon,57.61
Bulker,153847,23138,15.5,11.9,4014,57.0,5,2.0,0.63,Head,Northeast Monsoon,509.37
Bulker,134441,20685,13.3,8.4,1898,98.8,1,1.58,0.23,Beam,Inter-Monsoon,226.83
Container,142726,57133,20.8,17.4,3161,79.6,5,1.89,1.16,Following,Northeast Monsoon,1039.56
Bulker,159224,23408,12.7,10.4,2343,58.8,1,1.5,0.81,Head,Inter-Monsoon,392.73
Bulker,88423,13240,14.3,9.9,4678,85.1,4,5.33,1.85,Following,Southwest Monsoon,392.43
Container,64551,25863,20.5,12.8,4086,66.1,7,4.38,1.68,Head,Southwest Monsoon,374.49
Container,27575,11752,20.4,12.9,2416,53.7,3,1.59,0.66,Following,Inter-Monsoon,72.74
Container,69285,27863,18.6,16.7,2059,89.6,4,1.77,1.25,Beam,Northeast Monsoon,466.81
Tanker,208120,36984,15.8,12.3,2483,57.7,6,3.57,1.06,Following,Southwest Monsoon,518.31
Container,86949,35077,23.9,17.7,1591,89.1,4,3.31,0.93,Following,Northeast Monsoon,250.97
Container,76554,30317,20.9,13.1,4651,60.4,3,3.43,0.99,Head,Northeast Monsoon,397.52
Container,70222,29069,21.0,16.8,1618,70.5,3,1.42,0.19,Beam,Inter-Monsoon,228.68
Tanker,63801,10840,15.5,9.3,3164,66.8,8,3.4,1.56,Beam,Southwest Monsoon,143.09
Container,115143,45270,18.2,11.2,2848,85.0,1,0.83,0.27,Beam,Inter-Monsoon,477.83
Tanker,146377,26052,16.3,10.8,3843,92.1,1,1.31,0.3,Beam,Inter-Monsoon,471.77
Bulker,151537,22607,14.7,13.8,980,86.5,2,0.52,0.56,Beam,Inter-Monsoon,219.48
Tanker,55138,8943,16.8,15.3,1242,97.4,2,0.97,0.14,Head,Inter-Monsoon,100.76
Container,122615,48837,20.6,16.4,3659,76.0,1,0.62,0.86,Head,Inter-Monsoon,891.82
Tanker,283749,51619,16.8,13.7,3793,95.6,7,4.2,1.72,Following,Southwest Monsoon,1738.6
Tanker,260948,46734,15.5,10.8,3383,97.1,2,1.76,0.77,Following,Inter-Monsoon,898.27
Bulker,80397,11866,12.9,9.6,1667,76.8,5,3.69,0.74,Beam,Northeast Monsoon,156.77
Tanker,100916,18413,16.6,10.5,2958,95.8,3,1.85,0.6,Following,Inter-Monsoon,239.2
Tanker,296584,54132,13.7,12.5,2875,77.5,5,3.13,2.41,Head,Southwest Monsoon,1836.48
Tanker,222128,39826,14.1,13.0,4686,54.6,4,2.51,0.63,Beam,Northeast Monsoon,1520.46
Container,29748,11803,21.4,16.8,891,96.2,6,3.91,1.01,Beam,Southwest Monsoon,68.38
Tanker,236490,41900,14.2,10.3,1869,62.0,8,4.78,1.8,Following,Southwest Monsoon,501.8
Tanker,185647,33662,13.9,10.5,3618,61.9,3,2.02,1.44,Head,Northeast Monsoon,723.54
Container,23248,9325,19.9,16.3,3455,53.2,2,1.63,0.72,Head,Inter-Monsoon,155.68
Bulker,42501,6339,15.7,12.4,3704,81.9,2,0.67,0.19,Following,Inter-Monsoon,144.01
Tanker,265518,48840,13.5,8.2,2467,60.1,3,0.72,0.54,Following,Inter-Monsoon,446.51
Bulker,59902,9650,13.7,11.8,4552,74.2,2,1.45,0.15,Head,Inter-Monsoon,363.63
Bulker,186479,27527,14.7,10.3,817,99.4,2,0.85,0.41,Head,Inter-Monsoon,148.29
Bulker,63311,9543,15.1,14.0,3937,70.3,8,4.47,0.88,Head,Southwest Monsoon,434.23
Container,32392,13591,22.4,15.8,2227,65.3,3,3.35,1.12,Beam,Northeast Monsoon,105.61
Container,114519,45779,21.6,16.4,4801,99.1,4,1.59,1.0,Head,Northeast Monsoon,1212.49
Tanker,86980,14991,14.6,11.3,4482,92.3,6,4.03,1.83,Head,Southwest Monsoon,628.82
Container,91906,37095,19.2,15.7,1270,93.6,5,3.65,0.62,Head,Southwest Monsoon,351.22
Tanker,173263,31280,13.3,10.2,4633,60.0,2,1.99,0.6,Head,Inter-Monsoon,910.8
Tanker,290692,51896,14.3,11.2,2566,50.1,3,3.62,1.37,Head,Northeast Monsoon,799.81
Bulker,54242,8824,15.2,9.6,4330,57.5,5,3.58,0.87,Beam,Southwest Monsoon,147.66
Container,65417,25519,23.2,17.0,3094,52.9,4,5.81,1.92,Following,Southwest Monsoon,249.78
Tanker,149914,26517,14.9,10.6,3959,82.6,1,0.61,0.84,Beam,Inter-Monsoon,572.45
Tanker,296892,53177,13.5,11.7,4820,91.1,4,3.36,1.48,Head,Northeast Monsoon,2947.79
Tanker,256992,46636,14.9,11.8,931,64.9,5,2.18,1.1,Following,Northeast Monsoon,264.18
Container,40332,15774,23.1,15.2,4047,94.0,5,3.22,0.68,Head,Northeast Monsoon,240.6
Tanker,126102,22249,15.0,14.1,1372,87.0,3,1.74,0.53,Head,Inter-Monsoon,325.19
Bulker,76255,12135,15.2,9.3,1879,84.3,4,1.98,0.74,Beam,Northeast Monsoon,100.95
Container,24701,10066,22.6,19.3,4669,96.7,5,3.61,0.57,Following,Northeast Monsoon,312.72
Bulker,175117,27256,13.2,12.5,3715,92.1,1,1.25,0.7,Beam,Inter-Monsoon,1156.74
Container,67461,27830,18.1,11.1,3877,50.9,4,1.97,0.94,Head,Northeast Monsoon,311.33
Container,43952,18190,22.1,15.0,4805,53.1,6,3.87,0.51,Beam,Northeast Monsoon,267.56
Container,78723,30732,19.0,15.2,2074,61.5,4,2.77,0.73,Head,Southwest Monsoon,328.95
Tanker,130757,21889,16.5,14.3,701,72.9,3,2.37,1.33,Following,Northeast Monsoon,112.59
Container,102034,40757,23.7,16.9,2766,53.9,7,3.48,2.17,Head,Southwest Monsoon,391.64
Tanker,271862,49331,15.1,12.4,2767,56.1,4,5.09,0.6,Head,Southwest Monsoon,963.22
Tanker,208010,38499,16.0,10.6,941,69.7,8,2.65,1.96,Beam,Southwest Monsoon,165.67
Container,31706,12884,21.6,17.7,4360,81.5,3,2.33,0.65,Beam,Northeast Monsoon,300.11
Tanker,56576,10078,16.4,12.5,1710,66.8,3,1.41,0.4,Following,Inter-Monsoon,85.16
Container,95889,37907,19.5,16.3,4838,93.3,8,5.77,2.4,Head,Southwest Monsoon,1622.0
Container,89419,35289,20.7,16.3,3680,64.8,2,0.91,0.83,Beam,Inter-Monsoon,553.33
Bulker,42634,6605,14.0,10.2,2761,86.1,6,3.71,2.3,Head,Southwest Monsoon,150.16
Bulker,89161,13533,13.9,11.4,4965,51.6,3,1.79,0.98,Following,Inter-Monsoon,394.94
Container,39320,15502,18.8,16.4,3740,77.6,1,1.52,0.39,Head,Inter-Monsoon,374.51
Bulker,187772,28537,12.9,11.0,2110,95.1,1,1.32,0.2,Head,Inter-Monsoon,654.28
Bulker,38534,5964,14.4,10.1,4177,65.9,6,3.57,1.91,Beam,Southwest Monsoon,146.38
Tanker,134402,24816,16.7,10.2,1505,89.6,1,0.54,0.67,Following,Inter-Monsoon,140.54
Container,105476,42090,19.7,17.1,3811,76.9,1,1.69,0.19,Following,Inter-Monsoon,1011.06
Tanker,216711,39322,15.6,14.1,2854,93.9,5,2.84,1.23,Beam,Northeast Monsoon,1211.19
Container,124150,49094,20.1,14.4,2385,73.3,4,2.54,2.07,Following,Southwest Monsoon,468.24
Tanker,196240,34732,13.8,9.9,3517,64.9,5,3.82,1.55,Head,Southwest Monsoon,743.64
Tanker,277426,50155,14.4,12.5,2012,74.5,4,3.84,0.89,Beam,Northeast Monsoon,973.01
Bulker,58545,9124,15.3,11.2,3776,82.8,5,2.07,1.25,Beam,Northeast Monsoon,219.72
Container,109661,44168,22.7,18.3,2824,83.7,2,1.09,0.97,Following,Inter-Monsoon,573.0
Bulker,92097,13993,12.9,10.4,1800,98.2,1,1.82,1.0,Head,Inter-Monsoon,256.33
Container,132956,52909,21.5,17.5,4008,81.2,8,5.63,2.07,Following,Southwest Monsoon,1385.14
Container,50259,20921,20.0,12.5,4858,76.6,4,5.4,1.69,Following,Southwest Monsoon,382.86
Bulker,97587,14255,13.9,11.4,2195,50.4,8,5.8,0.91,Beam,Southwest Monsoon,249.41
Container,102730,40886,23.4,17.8,1666,89.9,6,4.08,1.29,Head,Southwest Monsoon,387.33
Bulker,132532,19808,15.3,14.5,623,74.6,5,4.01,2.04,Head,Southwest Monsoon,132.25
Container,82755,32881,19.7,13.3,1027,52.3,3,3.81,0.72,Head,Northeast Monsoon,115.66
Tanker,62233,11357,13.1,8.5,4109,71.4,1,1.64,0.71,Following,Inter-Monsoon,228.8
Bulker,154827,23443,12.2,10.5,4010,81.7,2,1.15,0.77,Beam,Inter-Monsoon,879.97
Bulker,36431,6343,14.4,10.2,1411,63.2,5,2.08,1.19,Head,Northeast Monsoon,51.5
Container,25680,10303,20.6,14.8,3466,98.5,3,3.83,0.57,Head,Northeast Monsoon,207.42
Container,83596,32632,19.9,13.3,4685,55.4,3,2.36,1.19,Beam,Northeast Monsoon,477.27
